daftarmahasiswa;Informasi mengenai Pendaftaran Mahasiswa dapat kamu akses pada link berikut: <a target='_blank' href='https://smb.telkomuniversity.ac.id/petunjuk-pendaftaran/'>Klik tautan ini</a>;Daftar Kuliah;Pendaftaran Kuliah;Pendaftaran Mahasiswa;Pendaftaran Mahasiswa baru;Pendaftaran Maba;Pendaftaran mhs;Daftar Masuk Kampus;Daftar Masuk Kuliah;Mahasiswa Baru;;;;;;;;;;;;;;;;;;;;;;;;;;
seleksimahasiswa;Informasi mengenai Seleksi Mahasiswa dapat kamu akses pada link berikut: <a target='_blank' href='https://smb.telkomuniversity.ac.id/jalur-seleksi/'>Klik tautan ini</a>;Seleksi Mahasiswa;Jalur Seleksi Mahasiswa;SMB;Seleksi Mahasiswa Baru;Seleksi Maba;Penerimaan Mahasiswa Baru;PMB;Penerimaan Maba;Jalur Seleksi;;;;;;;;;;;;;;;;;;;;;;;;;;
asramatelkom;Informasi mengenai Asrama Telkom dapat kamu akses pada link berikut: <a target='_blank' href='https://dormitory.telkomuniversity.ac.id/'>Klik tautan ini</a>;Asrama Telkom;Asrama;Dormitory Telkom;Dorm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
virtualtour;"Informasi mengenai Virtual Tour Telkom University dapat kamu akses pada link berikut: <a target='_blank' href='https://tour.telkomuniversity.ac.id/'>Klik tautan ini</a>""";Virtual Tour Telkom University;Virtual Tour;Virtualtour;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
infodosen;Informasi mengenai Dosen dapat kamu akses pada link berikut: <ol> <li>Data Dosen (Kode Dosen,Nama Dosen dan NIP Dosen) : <a target='_blank' href='https://see.telkomuniversity.ac.id/sk-pengajaran/#1634805123522-14d0d2ab-ef0b'>Klik tautan ini</a> > Kemudian pilih SK Pengajaran sesuai tahun dan jurusan yang diinginkan </li> <li>Dosen Wali : <a target='_blank' href='https://see.telkomuniversity.ac.id/sk-dosen-wali/ '>Klik tautan ini</a> </li> </ol>;Kode Dosen;Nama Dosen;NIP Dosen;Dosen wali ;Doswal;Waldos;Wali Dosen;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ujiansusulan;Informasi mengenai Alur Pengajuan dan Jadwal Ujian Susulan dapat kamu akses pada link berikut: <a target='_blank' href='https://see.telkomuniversity.ac.id/pengumuman-2020/#1589609773094-f5306717-037d'>Klik tautan ini</a> ;Jadwal Ujian susulan;UTS Susulan;UAS Susulan;Pengajuan Ujian Susulan;Ujian Susulan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kerjapraktek;Informasi mengenai Kerja Praktek dapat kamu akses pada link berikut: <ol> <li> Info Kerja Praktek : <a target='_blank' href='https://see.telkomuniversity.ac.id/kerja-praktek/'>Klik tautan ini</a> </li> <li>Surat Penjajakan Kerja Praktek : <a target='_blank' href='https://kepokape.id'>Klik tautan ini</a> > Login menggunakan akun Kepo Kape > Pilih Kerja Praktek > Surat Penjajakan</li> <li> Surat Izin Kerja Praktek : <a target='_blank' href='https://kepokape.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun Kepo Kape > Pilih Kerja Praktek > Form Proposal</li> </ol>;Magang;Kerja Praktik;Kerja Praktek;KP;Internship;Kape;Surat Penjajakan;Surat Penjajakan KP;Surat Penjajakan Kerja Praktek;Surat Penjajakan Magang;Surat Penjajakan Internship;Penjajakan KP;Penjajakan Kape;Surat Izin Kerja Praktek;Surat Izin KP;Surat Izin Magang;Surat Izin Internship;Surat Izin;Srt Izin KP;Surat Izin Kape;Izin KP;Izin Kerja Praktek;Izin Kape;;;;;;;;;;;;
kelengkapanta;Informasi mengenai Kelengkapan Tugas Akhir (Panduan, Proposal, Jurnal dan Buku Tugas Akhir) dapat kamu akses pada link berikut: <a target='_blank' href='https://see.telkomuniversity.ac.id/kelengkapan-ta/'>Klik tautan ini</a> ;Penulisan Jurnal Tugas Akhir;Jurnal Tugas Akhir;Penulisan Jurnal Tugas Akhir;Jurnal Tugas Akhir;Jurnal TA;Template Buku TA;Format Penulisan Proposal TA;Template Penulisan TA;Proposal TA;Proposal Tugas Akhir;Template Proposal Tugas Akhir;Penulisan Tugas Akhir;Format Penulisan Proposal Tugas Akhir;Template Proposal TA;Format Proposal TA;Panduan Skripsi;Skripsi;Tugas Akhir;Dokumen Panduan Skripsi;Proposal Tugas Akhir;Buku panduan pelaksanaan Tugas Akhir;panduan pelaksanaan Tugas Akhir;Tata cara pelaksanaan Tugas Akhir;Pelaksanaan Tugas Akhir;Buku Panduan Pelaksanaan TA;Buku Panduan Skripsi;Penulisan Buku Tugas Akhir;Buku Tugas Akhir;Buku TA;Template Penulisan Buku Tugas Akhir;Template Buku Tugas Akhir;Format Buku TA;Format Penulisan Buku TA;Template Penulisan Buku TA;Kelengkapan TA
daftarjadwalsidang;Informasi mengenai Sidang Akhir dapat kamu akses pada link berikut: <ol><li>Persyaratan Sidang : <a target='_blank' href='https://see.telkomuniversity.ac.id/pengumuman-2020/'>Klik tautan ini</a> </li> <li> Pendaftaran Sidang : <a target='_blank' href='https://igracias.telkomuniversity.ac.id/'>Klik tautan ini</a> > Login menggunakan akun SSO > TA/PA > Daftar TA/PA > Status TA/PA Mahasiswa > Daftar Sidang </li> <li> Jadwal Sidang : <a target='_blank' href='https://see.telkomuniversity.ac.id/pengumuman-2020/'>Klik tautan ini</a> </li> </ol>;Jadwal Sidang;Jadwal Sidang;Timeline Sidang;Daftar Sidang;Pendaftaran Sidang;Syarat Sidang;Persyaratan Sidang;Sidang Akhir;Sidang TA;;;;;;;;;;;;;;;;;;;;;;;;;;
skta;Informasi mengenai Status dan Pendaftaran SK TA/PA dapat kamu akses pada link berikut: <a target='_blank' href='https://igracias.telkomuniversity.ac.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun SSO</li> <li>Pilih TA/PA </li> <li>Klik Daftar TA/PA</li> <li>Status TA/PA Mahasiswa</li> <li>Lihat SK</li> </ol>;Tentang SK TA;SK TA;Tentang SK TA/PA;SK TA/PA;Status  SK TA/PA;Status SK TA;Daftar SK TA/PA;Daftar SK TA;Input SK TA;Input SK TA/PA;SKTA;Perpanjang SKTA;Perpanjang SK TA/PA;;;;;;;;;;;;;;;;;;;;;;
unknown;Silahkan ulangi pertanyaan anda.;*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
